item,sample,metadata_extract,linecut_qr
C67_GD2-69-8_th0.110_2863.2s_T200.001C_5.00s_61361_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2863.2,""theta"":0.11,""sequence_ID"":61361.0,""annealing_temperature"":200.001},""time"":1.5084270525125265e+09}",
C67_GD2-69-8_th0.110_2917.2s_T200.002C_5.00s_61366_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2917.2,""theta"":0.11,""sequence_ID"":61366.0,""annealing_temperature"":200.002},""time"":1.5084270525184445e+09}",
C67_GD2-69-8_th0.110_2976.2s_T200.001C_5.00s_61371_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":2976.2,""theta"":0.11,""sequence_ID"":61371.0,""annealing_temperature"":200.001},""time"":1.508427052524454e+09}",
C67_GD2-69-8_th0.110_3039.3s_T200.001C_5.00s_61376_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3039.3,""theta"":0.11,""sequence_ID"":61376.0,""annealing_temperature"":200.001},""time"":1.508427052531241e+09}",
C67_GD2-69-8_th0.110_3102.2s_T200.001C_5.00s_61381_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3102.2,""theta"":0.11,""sequence_ID"":61381.0,""annealing_temperature"":200.001},""time"":1.5084270525376155e+09}",
C67_GD2-69-8_th0.110_3166.2s_T200.001C_5.00s_61386_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3166.2,""theta"":0.11,""sequence_ID"":61386.0,""annealing_temperature"":200.001},""time"":1.5084270525440142e+09}",
C67_GD2-69-8_th0.110_3228.2s_T200.000C_5.00s_61391_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3228.2,""theta"":0.11,""sequence_ID"":61391.0,""annealing_temperature"":200.0},""time"":1.5084270525504575e+09}",
C67_GD2-69-8_th0.110_3290.2s_T200.000C_5.00s_61396_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3290.2,""theta"":0.11,""sequence_ID"":61396.0,""annealing_temperature"":200.0},""time"":1.5084270525567923e+09}",
C67_GD2-69-8_th0.110_3362.3s_T200.000C_5.00s_61401_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3362.3,""theta"":0.11,""sequence_ID"":61401.0,""annealing_temperature"":200.0},""time"":1.5084270525628474e+09}",
C67_GD2-69-8_th0.110_3431.2s_T200.001C_5.00s_61406_saxs,C67_GD2-69-8,"{""data"":{""annealing_time"":3431.2,""theta"":0.11,""sequence_ID"":61406.0,""annealing_temperature"":200.001},""time"":1.5084270525689464e+09}",
